2
Phi=0(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
1980000000	-3.1415926536	-8.37060210802472	-9.01356239577806	-16.9841184092379	-2.55531243149098	-2.46569292496927
1980000000	-3.089232776	-8.04786698453846	-8.73859984892304	-16.3733988349368	-2.60412797798265	-2.53691031371328
1980000000	-3.0368728985	-7.79462826258715	-8.51369462409194	-15.9593552697641	-2.64433023702867	-2.55597630622497
1980000000	-2.9845130209	-7.58748650794319	-8.29450513152044	-15.8197355982894	-2.67155349885427	-2.51633584568712
1980000000	-2.9321531434	-7.40846515402382	-8.05475196325351	-16.0011921613735	-2.67941463430652	-2.41647006857693
1980000000	-2.8797932658	-7.24242944812724	-7.79374990685603	-16.4789759248128	-2.66423224537167	-2.25844918289251
1980000000	-2.8274333882	-7.08095126567475	-7.52511229867335	-17.2035777996353	-2.62495390872	-2.04747357017963
1980000000	-2.7750735107	-6.93845662787123	-7.28367230158072	-18.1068592152914	-2.56443199384743	-1.78916871277243
1980000000	-2.7227136331	-6.84528582739288	-7.10910795829224	-19.1412600181244	-2.48689223069089	-1.48651463953451
1980000000	-2.6703537556	-6.83076808212416	-7.03594850109809	-20.1894383868727	-2.39594446067413	-1.13626847359498
1980000000	-2.617993878	-6.92152528385383	-7.09340076357146	-21.0328834859905	-2.29294722958891	-0.735602825201551
1980000000	-2.5656340004	-7.12127920061902	-7.28932521985502	-21.3285921029737	-2.17767309331108	-0.305609846684461
1980000000	-2.5132741229	-7.41302269986884	-7.60985972420413	-20.9478446995392	-2.04840650850332	0.101544158704712
1980000000	-2.4609142453	-7.7609931806224	-8.0189528544452	-20.1516595357355	-1.90393083331439	0.445442974899912
1980000000	-2.4085543678	-8.12530376351132	-8.47197652478367	-19.2761330829994	-1.74415955363357	0.724793334911484
1980000000	-2.3561944902	-8.47527912553357	-8.92962070334574	-18.5044879139218	-1.57113348082182	0.958228985176514
1980000000	-2.3038346126	-8.79768609510361	-9.36909612120434	-17.8886235439328	-1.38660813377791	1.1637833253294
1980000000	-2.2514747351	-9.08604341743828	-9.77414436889036	-17.4268737279116	-1.19074766792497	1.3529097397754
1980000000	-2.1991148575	-9.3233317494698	-10.1132936264876	-17.1141090174653	-0.982171722261256	1.53103266001495
1980000000	-2.14675498	-9.47713747230445	-10.3322878540099	-16.9551171048608	-0.761001424577309	1.70011323604925
1980000000	-2.0943951024	-9.51168530251749	-10.3722918676207	-16.9646816616098	-0.533230266645295	1.8609699797643
1980000000	-2.0420352248	-9.4210829763998	-10.2193356496548	-17.1705368963456	-0.309412592396697	2.01610329409874
1980000000	-1.9896753473	-9.24547745202541	-9.936437985102	-17.5696889015412	-0.0987003234118923	2.16919818643287
1980000000	-1.9373154697	-9.05108269945609	-9.62082805081507	-18.1538766907454	0.0965359816457582	2.32737611519312
1980000000	-1.8849555922	-8.88294470820344	-9.34103063333749	-18.8783482362897	0.280703403741342	2.50062265097115
1980000000	-1.8325957146	-8.74832878909729	-9.11552252893265	-19.6595225795412	0.460198906362159	2.70177054223172
1980000000	-1.780235837	-8.60934504527213	-8.91108600131909	-20.3408425307891	0.638702841762329	2.94289171796183
1980000000	-1.7278759595	-8.41633731582868	-8.681469632778	-20.6914455186104	0.814795803638956	-3.05727877829546
1980000000	-1.6755160819	-8.14233372636402	-8.402484211378	-20.4973563897083	0.98352343706994	-2.75288635407806
1980000000	-1.6231562044	-7.80484549913319	-8.09224455598526	-19.7407423276362	1.14053401408377	-2.4640171401279
1980000000	-1.5707963268	-7.43476575735713	-7.77811348223633	-18.6258100253733	1.28637539351243	-2.21873653909127
1980000000	-1.5184364492	-7.05505322529548	-7.47619796699725	-17.3974533785428	1.42553140321142	-2.02423581205222
1980000000	-1.4660765717	-6.66141792354634	-7.17230011035602	-16.2089907497382	1.56399350869608	-1.87537767719441
1980000000	-1.4137166941	-6.22630846915316	-6.82397190072465	-15.1349899688139	1.70548618158863	-1.76483153368539
1980000000	-1.3613568166	-5.7223914926634	-6.38973473511503	-14.1861416901873	1.84878067307756	-1.68605639028064
1980000000	-1.308996939	-5.14517131841305	-5.85485425714935	-13.3623812598649	1.9890605025678	-1.63366251336205
1980000000	-1.2566370614	-4.52440975087745	-5.25084924019498	-12.6484163975805	2.12066461194174	-1.60285829740146
1980000000	-1.2042771839	-3.89496764205639	-4.61638325544314	-12.0466711750259	2.24128570693312	-1.58925699961462
1980000000	-1.1519173063	-3.28492093737654	-3.98442984824827	-11.5598924906142	2.35160787955425	-1.58907589537319
1980000000	-1.0995574288	-2.69629102761507	-3.35854447199381	-11.1908116417011	2.45409202313593	-1.5996018547626
1980000000	-1.0471975512	-2.11196455073011	-2.72046537818033	-10.9478944868248	2.54987231299765	-1.61934571708056
1980000000	-0.9948376736	-1.50995349975473	-2.04947375153248	-10.8346869127904	2.63835560868055	-1.64791264697988
1980000000	-0.9424777961	-0.88478750722133	-1.34670227237305	-10.8459226998738	2.71774840736403	-1.68541455596579
1980000000	-0.8901179185	-0.250160135890788	-0.633385320465366	-10.983666506989	2.78595676928903	-1.73217225011203
1980000000	-0.837758041	0.357831800404806	0.0472744701859727	-11.2529468600879	2.84277198345654	-1.78828849496936
1980000000	-0.7853981634	0.908055136287924	0.661772929333927	-11.6780167992572	2.8892872909822	-1.85387536892259
1980000000	-0.7330382858	1.36785399915375	1.17736689456617	-12.3062287408344	2.92741324924297	-1.93012689390871
1980000000	-0.6806784083	1.73879682417294	1.59709656951616	-13.1959974707975	2.95953631748305	-2.01960962340493
1980000000	-0.6283185307	2.03019362721583	1.93072326754415	-14.420352855628	2.98684312739363	-2.12844772227071
1980000000	-0.5759586532	2.27652651912906	2.21249412027524	-16.0692957345469	3.01029606357284	-2.26838475814039
1980000000	-0.5235987756	2.4897520935841	2.45272752560764	-18.2216901553421	3.02976973768994	-2.46479009477039
1980000000	-0.47123889804	2.67267739336961	2.65319570399669	-20.8186367787334	3.04558964695537	-2.77016654766163
1980000000	-0.41887902048	2.81331285864382	2.80223253214205	-23.1245436612111	3.05871606265558	3.01865242212146
1980000000	-0.36651914292	2.86739647911927	2.85686133505916	-23.289308354744	3.07110357209907	2.40361059280288
1980000000	-0.31415926536	2.80847826781103	2.79221646928905	-21.4658074472881	3.08577560195607	1.94809314778002
1980000000	-0.2617993878	2.60058442189492	2.57349368738507	-19.4625892151856	3.10598271316874	1.69216653401108
1980000000	-0.20943951024	2.24734570957662	2.20524861721633	-17.9090079451004	3.13497366569131	1.55383254539897
1980000000	-0.15707963268	1.79152745204938	1.73202496178219	-16.87068151802	-3.10825255326783	1.48139938411085
1980000000	-0.10471975512	1.29756491112904	1.22193862622826	-16.3313088081173	-3.0576058572215	1.44751453746881
1980000000	-0.05235987756	0.871439530595545	0.78714287771462	-16.2903804272302	-3.00065144875524	1.43658496985157
1980000000	-4.4408920985E-16	0.605128679922916	0.525132008875735	-16.7819322236912	-2.94567397938891	1.43959065800424
1980000000	0.05235987756	0.522419376275143	0.459199423338299	-17.8784536859136	0.24028569797075	-1.68737882787398
1980000000	0.10471975512	0.599931811368953	0.558634646792384	-19.6393411772122	0.269270355485452	-1.65154433440112
1980000000	0.15707963268	0.769307003751927	0.746586658517002	-22.0557420674603	0.284337350027158	-1.5598920453666
1980000000	0.20943951024	0.939176442516358	0.927169401854816	-24.6503089940111	0.290595942791477	-1.33178329013826
1980000000	0.2617993878	1.04172394829642	1.0322021527641	-25.5536906791081	0.293583057465104	-0.934307991590902
1980000000	0.31415926536	1.03900228009112	1.02416968212075	-23.6340827654891	0.29664969560634	-0.627332796531679
1980000000	0.36651914292	0.925305516479548	0.896212231188756	-20.8291484615514	0.300528133432348	-0.532287450623455
1980000000	0.41887902048	0.718585192893101	0.663872106134834	-18.3056735719654	0.303791220885915	-0.545499323370465
1980000000	0.47123889804	0.448557945126917	0.355663413397121	-16.2957481443073	0.303446032330566	-0.594520707869557
1980000000	0.5235987756	0.135920299739069	-0.00488399802858087	-14.8259756428067	0.296593653543229	-0.65209972831129
1980000000	0.5759586532	-0.209881235751668	-0.401881705860669	-13.8503479901146	0.281896300044596	-0.711832245648084
1980000000	0.6283185307	-0.600986664725252	-0.841208954057623	-13.2922542768807	0.259942405468692	-0.772004648742497
1980000000	0.6806784083	-1.05458976760938	-1.3375590934551	-13.0557557537818	0.233067728012869	-0.834372338717759
1980000000	0.7330382858	-1.58847951556531	-1.91145876410936	-13.0350652866979	0.204165258714878	-0.898857086283154
1980000000	0.7853981634	-2.20517875989518	-2.57072454539286	-13.1350950299777	0.175404274701822	-0.965050808123907
1980000000	0.837758041	-2.89195943023448	-3.30649558229931	-13.2997979739327	0.147298156813036	-1.03077330576767
1980000000	0.8901179185	-3.61946037432603	-4.08910636109737	-13.5123043851949	0.119012390536751	-1.09388341134247
1980000000	0.9424777961	-4.35354244992442	-4.87904057138676	-13.7857738727884	0.0884132708339775	-1.15641477132563
1980000000	0.9948376736	-5.06602439773019	-5.63908229715868	-14.1452612228409	0.053638360299405	-1.22048395566136
1980000000	1.0471975512	-5.7530687113063	-6.36167620866766	-14.5882894876934	0.013918385543996	-1.2888943142069
