2
Frequency=1980(MHz)

Phi	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
0	-3.1415926536	-9.44891018535084	-9.67137027652946	-22.4649874476806	3.11439862799816	2.95604889232603
0	-3.089232776	-9.26623701705586	-9.40609756995087	-24.2568703305464	3.06073231097315	3.12635954625334
0	-3.0368728985	-9.08658909754612	-9.17378557971402	-26.1029678635017	3.04023596857506	-2.83644338361196
0	-2.9845130209	-8.97290831110628	-9.04186946432737	-26.9991412198895	3.04916618762428	-2.34147337544561
0	-2.9321531434	-8.96797792486086	-9.0573843283583	-25.876761298316	3.08436620263877	-1.82431526608531
0	-2.8797932658	-9.08031906534017	-9.2359866975164	-23.6137803134959	-3.13725442421702	-1.46560675218933
0	-2.8274333882	-9.27446864796268	-9.55052295968717	-21.3796624650239	-3.04592779229016	-1.25938754699754
0	-2.7750735107	-9.45864307376781	-9.90922186106464	-19.5221205299595	-2.92090409130423	-1.15351377035424
0	-2.7227136331	-9.51880919824643	-10.1769036074044	-18.0386632039876	-2.76378314156815	-1.11250103064457
0	-2.6703537556	-9.38581284097259	-10.2431963478541	-16.8535460590418	-2.58633711564241	-1.11200516426611
0	-2.617993878	-9.08657465831672	-10.1049389678825	-15.8846230600456	-2.40577991607433	-1.13210036525054
0	-2.5656340004	-8.7150882955925	-9.85506847018678	-15.0814875964957	-2.2349489722858	-1.15560361832272
0	-2.5132741229	-8.36821889199099	-9.60585206577245	-14.4242734726899	-2.07581082821638	-1.17059668140634
0	-2.4609142453	-8.09813103215742	-9.41846444117372	-13.9125923736151	-1.92444398466519	-1.17163127265941
0	-2.4085543678	-7.90069210318723	-9.28459585145353	-13.5410692282824	-1.77844404201877	-1.16057989686097
0	-2.3561944902	-7.76150301695009	-9.1783189407611	-13.3153779584013	-1.63879972597824	-1.14373948461827
0	-2.3038346126	-7.67178312657906	-9.08736953136053	-13.2288471235268	-1.50937908630044	-1.12991634931127
0	-2.2514747351	-7.654255581358	-9.03934903102684	-13.2914641066716	-1.39233558376204	-1.12578330924608
0	-2.1991148575	-7.73626330924309	-9.07995358022085	-13.4856514386359	-1.28497924627848	-1.13486832188865
0	-2.14675498	-7.94090859829249	-9.24683385245175	-13.7961812686223	-1.18022082684838	-1.15428194106943
0	-2.0943951024	-8.26227101442096	-9.5498070311932	-14.1703952856977	-1.06967634489007	-1.17733410996735
0	-2.0420352248	-8.66993805449985	-9.96490138630443	-14.5566113837513	-0.948020576644327	-1.1938125293294
0	-1.9896753473	-9.12766243428448	-10.4651067913076	-14.8943225158744	-0.815834831496744	-1.19586069280689
0	-1.9373154697	-9.61666087926629	-11.0449982937822	-15.1408087970178	-0.679531191329536	-1.18185245091164
0	-1.8849555922	-10.1643098940615	-11.7593081688448	-15.2876697548072	-0.545997872477223	-1.15822612271243
0	-1.8325957146	-10.8212562129143	-12.7007082099578	-15.3646760419838	-0.416616219422959	-1.13668462646991
0	-1.780235837	-11.6375625203517	-13.9719144298795	-15.4487634234442	-0.283178639820721	-1.12679973455239
0	-1.7278759595	-12.610655462623	-15.6376370254235	-15.6043376434161	-0.127492627714944	-1.1325484700797
0	-1.6755160819	-13.6665132521528	-17.6606100657102	-15.8752304881283	0.0790685289791859	-1.15066485594902
0	-1.6231562044	-14.6688337566676	-19.845810487539	-16.2402485722184	0.369797648135912	-1.174208936293
0	-1.5707963268	-15.4983570134875	-21.7663050972559	-16.6683294892945	0.76754601263325	-1.19294722945325
0	-1.5184364492	-16.059535140097	-22.8556964314621	-17.0783982746389	1.26310460003392	-1.20057082915829
0	-1.4660765717	-16.2447289298847	-22.5682745393333	-17.3976551734037	1.80214865723961	-1.19668935586954
0	-1.4137166941	-15.9049245882439	-20.8113576920084	-17.5997736339433	2.27645736878652	-1.18824746886263
